"id","academy_id","student_id","name","program","plan_type","amount","amount_received","balance_amount","payment_mode","payment_status","payment_date","start_date","expiry_date","sessions_purchased","sessions_used","status","created_at","enrollment_type","package_duration","coach_id","transaction_ref","tax_inclusive","gst_rate","base_amount","tax_amount","discount","discount_type","discount_val","discount_reason","valid_to","next_payment_due"
"pkg_013","11111111-1111-1111-1111-111111111111","st_vivaan_mehra","ADV","ADV","Monthly","9000","9000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-02","36","15","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_014","11111111-1111-1111-1111-111111111111","st_dev_karnik","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-05","36","23","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_015","11111111-1111-1111-1111-111111111111","st_arjun_arya","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-12","36","14","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_016","11111111-1111-1111-1111-111111111111","st_aarav_chandra","ADV","ADV","Monthly","9000","9000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-12","36","18","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_017","11111111-1111-1111-1111-111111111111","st_aalya_saini","ORANGE","ORANGE","Monthly","5500","0","5500","cash","PENDING","2026-08-01","2026-06-25","2026-09-13","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_018","11111111-1111-1111-1111-111111111111","st_alina_yalla","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-19","36","29","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_019","11111111-1111-1111-1111-111111111111","st_aarush_sanghvi","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-11-02","36","6","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_020","11111111-1111-1111-1111-111111111111","st_meera_vivek","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-06","36","19","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_021","11111111-1111-1111-1111-111111111111","st_krisha_desai","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-21","36","16","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_022","11111111-1111-1111-1111-111111111111","st_aarshiv_karla","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-12","36","6","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_023","11111111-1111-1111-1111-111111111111","st_aroush_mehta","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-08-18","36","36","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_024","11111111-1111-1111-1111-111111111111","st_ivanka_chouhan","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-15","36","16","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_025","11111111-1111-1111-1111-111111111111","st_aarav_sanghvi","ORANGE","ORANGE","Monthly","5500","5500","0","cash","PAID","2026-06-25","2026-06-25","2026-11-01","36","30","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_026","11111111-1111-1111-1111-111111111111","st_shaurya_kothari","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-07","36","4","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_027","11111111-1111-1111-1111-111111111111","st_aarav_heble","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-03","36","4","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_028","11111111-1111-1111-1111-111111111111","st_aveer_vasant","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-17","36","19","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_029","11111111-1111-1111-1111-111111111111","st_alyssa_modawalla","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-23","36","36","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_030","11111111-1111-1111-1111-111111111111","st_aveera_rathod","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-04","36","15","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_031","11111111-1111-1111-1111-111111111111","st_alyza_jhaveri","RED","RED","Monthly","5000","5000","0","cash","PARTIAL","2026-06-25","2026-06-25","2026-09-18","36","11","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_032","11111111-1111-1111-1111-111111111111","st_aryaveer_rathod","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-24","36","28","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_033","11111111-1111-1111-1111-111111111111","st_ananya_dodhia","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-29","36","19","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_034","11111111-1111-1111-1111-111111111111","st_divyansh_bhatija","RED","RED","Monthly","5000","0","5000","cash","PENDING","2026-08-01","2026-06-25","2026-09-13","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_035","11111111-1111-1111-1111-111111111111","st_arya_mehta","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-28","36","29","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_036","11111111-1111-1111-1111-111111111111","st_agastya_kalra","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-22","36","11","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_037","11111111-1111-1111-1111-111111111111","st_kiara_shah","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-29","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_038","11111111-1111-1111-1111-111111111111","st_zain_guzman","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-08","36","26","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_039","11111111-1111-1111-1111-111111111111","st_avyaan_barot","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-08","36","30","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_040","11111111-1111-1111-1111-111111111111","st_hrivaan_mehta","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-02","36","12","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_041","11111111-1111-1111-1111-111111111111","st_arjun_arya","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-21","36","24","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_042","11111111-1111-1111-1111-111111111111","st_dev_karnik","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-13","36","26","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_043","11111111-1111-1111-1111-111111111111","st_zahaan_sachdeva","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-12","36","30","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_044","11111111-1111-1111-1111-111111111111","st_riddhima_shah","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-08","36","25","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_045","11111111-1111-1111-1111-111111111111","st_ayaan_salot","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-12","36","24","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_046","11111111-1111-1111-1111-111111111111","st_siddhanth_dsouza","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-08-18","36","36","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_047","11111111-1111-1111-1111-111111111111","st_aarush_khanna","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-27","36","4","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_048","11111111-1111-1111-1111-111111111111","st_aadvik_khanna","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-21","36","29","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_049","11111111-1111-1111-1111-111111111111","st_kaisha_mehta","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-17","36","18","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_050","11111111-1111-1111-1111-111111111111","st_arhaan_dutt","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-20","36","6","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_051","11111111-1111-1111-1111-111111111111","st_kimaya_katyal","FITNESS","FITNESS","Monthly","3000","0","3000","cash","PENDING","2026-08-01","2026-06-25","2026-09-13","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_052","11111111-1111-1111-1111-111111111111","st_aarohi_singhal","INT","INT","Monthly","7500","7500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-04","36","28","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_053","11111111-1111-1111-1111-111111111111","st_amaira_chauhan","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-07","36","9","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_054","11111111-1111-1111-1111-111111111111","st_arjun_choudhary","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-17","36","21","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_055","11111111-1111-1111-1111-111111111111","st_vivaan_mehra","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-23","36","16","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_056","11111111-1111-1111-1111-111111111111","st_kimaya_katyal","JDP","JDP","Monthly","14000","14000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-22","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_057","11111111-1111-1111-1111-111111111111","st_inez_mehra","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-03","36","16","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_058","11111111-1111-1111-1111-111111111111","st_vrahad_arora","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-23","36","36","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_059","11111111-1111-1111-1111-111111111111","st_aksania_atal","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-16","36","18","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_060","11111111-1111-1111-1111-111111111111","st_arjun_shah","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-29","36","7","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_061","11111111-1111-1111-1111-111111111111","st_shivya_poddar","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-22","36","6","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_062","11111111-1111-1111-1111-111111111111","st_ayaan_sheth","GREEN","GREEN","Monthly","6500","6500","0","cash","PARTIAL","2026-06-25","2026-06-25","2026-09-18","36","11","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_063","11111111-1111-1111-1111-111111111111","st_arhaan_sanghvi","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-05","36","15","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_064","11111111-1111-1111-1111-111111111111","st_ananya_rajani","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-29","36","14","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_065","11111111-1111-1111-1111-111111111111","st_vivaan_oza","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-08","36","19","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_066","11111111-1111-1111-1111-111111111111","st_vihaan_vasant","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-09-11","36","17","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_067","11111111-1111-1111-1111-111111111111","st_amara_yalla","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-10-15","36","25","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_068","11111111-1111-1111-1111-111111111111","st_ahaan_kewalramani","GREEN","GREEN","Monthly","6500","0","6500","cash","PENDING","2026-08-01","2026-06-25","2026-09-13","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_069","11111111-1111-1111-1111-111111111111","st_viana_shah","GREEN","GREEN","Monthly","6500","6500","0","cash","PAID","2026-06-25","2026-06-25","2026-08-18","36","36","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_070","11111111-1111-1111-1111-111111111111","st_ivana_ganeriwal","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-29","36","19","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_071","11111111-1111-1111-1111-111111111111","st_kavir_chopra","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-14","36","28","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_072","11111111-1111-1111-1111-111111111111","st_ariaan_khandelwal","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-10","36","30","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_073","11111111-1111-1111-1111-111111111111","st_kianna_jain","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-07","36","30","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_074","11111111-1111-1111-1111-111111111111","st_zayn_winston","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-21","36","23","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_075","11111111-1111-1111-1111-111111111111","st_parth_mehta","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-21","36","21","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_076","11111111-1111-1111-1111-111111111111","st_avish_shah","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-05","36","10","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_077","11111111-1111-1111-1111-111111111111","st_anaiza_jhaveri","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-06","36","4","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_078","11111111-1111-1111-1111-111111111111","st_shauraya_sekhani","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-08","36","20","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_079","11111111-1111-1111-1111-111111111111","st_nihira_desai","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-18","36","19","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_080","11111111-1111-1111-1111-111111111111","st_kaira_vajifdar","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-11","36","21","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_081","11111111-1111-1111-1111-111111111111","st_sohana_chandanani","RED","RED","Monthly","5000","5000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-24","36","12","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_082","11111111-1111-1111-1111-111111111111","st_amara_yalla","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-19","36","14","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_083","11111111-1111-1111-1111-111111111111","st_viana_shah","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-02","36","20","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_084","11111111-1111-1111-1111-111111111111","st_aarohi_singhal","FITNESS","FITNESS","Monthly","3000","3000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-26","36","23","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_085","11111111-1111-1111-1111-111111111111","st_prashi_iyer","WEEKEND","WEEKEND","Monthly","4000","0","4000","cash","PENDING","2026-08-01","2026-06-25","2026-09-13","36","8","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_086","11111111-1111-1111-1111-111111111111","st_tanuj_gupte","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-05","36","5","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_087","11111111-1111-1111-1111-111111111111","st_shivaay_ruia","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-23","36","36","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_088","11111111-1111-1111-1111-111111111111","st_vansh_katari","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-14","36","27","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_089","11111111-1111-1111-1111-111111111111","st_prabhit_kanakia","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-11-05","36","7","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_090","11111111-1111-1111-1111-111111111111","st_ziana_vora","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-18","36","20","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_091","11111111-1111-1111-1111-111111111111","st_naavya_desai","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-28","36","26","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_092","11111111-1111-1111-1111-111111111111","st_sasha_saini","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-08-18","36","36","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_093","11111111-1111-1111-1111-111111111111","st_shivan_chauhan","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PARTIAL","2026-06-25","2026-06-25","2026-09-18","36","11","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_094","11111111-1111-1111-1111-111111111111","st_advait_parekh","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-23","36","21","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_095","11111111-1111-1111-1111-111111111111","st_rada_saran_koshcheeva","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-30","36","20","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_096","11111111-1111-1111-1111-111111111111","st_maahi_pabari","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-20","36","11","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_097","11111111-1111-1111-1111-111111111111","st_dhven_mukhi","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-13","36","23","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_098","11111111-1111-1111-1111-111111111111","st_kyra_golcha","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-27","36","10","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_099","11111111-1111-1111-1111-111111111111","st_aditya_kapadia","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-09-20","36","11","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_100","11111111-1111-1111-1111-111111111111","st_ananya_kapadia","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-06","36","16","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
"pkg_101","11111111-1111-1111-1111-111111111111","st_rehaan_merchant","WEEKEND","WEEKEND","Monthly","4000","4000","0","cash","PAID","2026-06-25","2026-06-25","2026-10-26","36","21","Active","2026-08-01T00:00:00Z","","","","","","","","","","","","","",""
