"id","academy_id","parent_id","full_name","date_of_birth","age","age_group","gender","skill_level","status","join_date","guardian_name","guardian_phone","guardian_email","membership_type","created_at"
"st_tanuj_gupte","11111111-1111-1111-1111-111111111111","parent-76","Tanuj Gupte","2014-01-01","15","","Other","Beginner","ACTIVE","2025-07-03","Gupte Family","+91 9890702951","","Guest","2026-01-05T00:00:00Z"
"st_thiyaan_manik","11111111-1111-1111-1111-111111111111","parent-77","Thiyaan Manik","2014-01-01","10","","Other","Beginner","ACTIVE","2024-10-16","Manik Family","+91 9859889272","","Member","2026-01-05T00:00:00Z"
"st_vansh_katari","11111111-1111-1111-1111-111111111111","parent-78","Vansh Katari","2014-01-01","17","","Other","Beginner","ACTIVE","2026-03-07","Katari Family","+91 9870828562","","Guest","2026-01-05T00:00:00Z"
"st_viana_shah","11111111-1111-1111-1111-111111111111","parent-79","Viana Shah","2014-01-01","12","","Other","Beginner","ACTIVE","2025-03-07","Shah Family","+91 9888822215","","Member","2026-01-05T00:00:00Z"
"st_vihaan_vasant","11111111-1111-1111-1111-111111111111","parent-80","Vihaan Vasant","2014-01-01","7","","Other","Beginner","ACTIVE","2026-02-27","Vasant Family","+91 9887117647","","Member","2026-01-05T00:00:00Z"
"st_vivaan_mehra","11111111-1111-1111-1111-111111111111","parent-81","Vivaan Mehra","2014-01-01","14","","Other","Beginner","ACTIVE","2026-01-09","Mehra Family","+91 9861821066","","Member","2026-01-05T00:00:00Z"
"st_vivaan_oza","11111111-1111-1111-1111-111111111111","parent-82","Vivaan Oza","2014-01-01","9","","Other","Beginner","ACTIVE","2026-02-08","Oza Family","+91 9894187382","","Member","2026-01-05T00:00:00Z"
"st_vrahad_arora","11111111-1111-1111-1111-111111111111","parent-83","Vrahad Arora","2014-01-01","16","","Other","Beginner","ACTIVE","2025-11-24","Arora Family","+91 9851716384","","Member","2026-01-05T00:00:00Z"
"st_yuvaan_bajaj","11111111-1111-1111-1111-111111111111","parent-84","Yuvaan Bajaj","2014-01-01","11","","Other","Beginner","ACTIVE","2025-11-02","Bajaj Family","+91 9891932517","","Guest","2026-01-05T00:00:00Z"
"st_zahaan_sachdeva","11111111-1111-1111-1111-111111111111","parent-85","Zahaan Sachdeva","2014-01-01","6","","Other","Beginner","ACTIVE","2026-02-03","Sachdeva Family","+91 9835474614","","Member","2026-01-05T00:00:00Z"
"st_zain_guzman","11111111-1111-1111-1111-111111111111","parent-86","Zain Guzman","2014-01-01","13","","Other","Beginner","ACTIVE","2024-12-25","Guzman Family","+91 9894419900","","Member","2026-01-05T00:00:00Z"
"st_zayn_winston","11111111-1111-1111-1111-111111111111","parent-87","Zayn Winston","2014-01-01","8","","Other","Beginner","ACTIVE","2024-08-11","Winston Family","+91 9836385835","","Member","2026-01-05T00:00:00Z"
"st_ziana_vora","11111111-1111-1111-1111-111111111111","parent-88","Ziana Vora","2014-01-01","15","","Other","Beginner","ACTIVE","2025-03-08","Vora Family","+91 9862104655","","Member","2026-01-05T00:00:00Z"
